date,pm2_5_mean,pm10_mean,co_mean,dust_mean,temperature_mean,humidity_mean,wind_speed_mean,wind_direction_mean,precipitation_sum,pressure_mean,hours_count
2023-03-30,85.00416666666668,122.29583333333333,725.3333333333334,0.3333333333333333,28.004166666666666,55.416666666666664,5.816666666666666,165.41666666666666,0.0,984.6583333333333,24
2023-03-31,64.89166666666667,93.45833333333333,568.5416666666666,0.75,28.2375,51.291666666666664,4.420833333333333,148.45833333333334,0.0,984.2708333333334,24
2023-04-01,51.9,75.00833333333334,509.125,0.375,28.71666666666667,48.458333333333336,6.529166666666666,153.91666666666666,0.0,983.9333333333334,24
2023-04-02,33.1625,48.25416666666666,377.1666666666667,0.375,29.150000000000002,50.041666666666664,7.958333333333333,194.375,0.0,983.2833333333333,24
2023-04-03,25.916666666666668,37.766666666666666,291.75,0.125,28.258333333333336,47.625,7.554166666666667,197.83333333333334,0.0,982.725,24
2023-04-04,44.0875,63.8375,418.7083333333333,1.0,28.433333333333334,47.083333333333336,5.8875,224.66666666666666,0.0,982.6333333333333,24
2023-04-05,78.45833333333333,112.90833333333335,595.6666666666666,0.9583333333333334,28.895833333333332,46.666666666666664,3.1791666666666667,203.91666666666666,0.0,983.3375,24
2023-04-06,131.92083333333332,189.27083333333334,967.2083333333334,1.0416666666666667,28.3125,48.375,3.029166666666667,192.29166666666666,0.0,984.3291666666668,24
2023-04-07,108.72083333333335,155.96666666666667,941.5416666666666,0.7083333333333334,28.491666666666664,51.583333333333336,4.795833333333333,205.875,0.0,985.4833333333332,24
2023-04-08,87.71249999999999,126.09166666666665,847.8333333333334,0.375,28.941666666666666,56.041666666666664,6.266666666666667,183.0,0.2,987.9291666666667,24
2023-04-09,43.07083333333333,62.36666666666667,513.875,0.0,29.679166666666664,59.583333333333336,7.754166666666666,200.875,0.8999999999999999,988.2333333333332,24
2023-04-10,44.82083333333333,64.87916666666666,521.2916666666666,0.25,30.3875,54.333333333333336,6.266666666666667,191.70833333333334,0.0,985.6999999999999,24
2023-04-11,40.25416666666667,58.18333333333334,496.0416666666667,0.25,30.754166666666666,48.416666666666664,4.770833333333333,199.95833333333334,0.0,984.4083333333333,24
2023-04-12,56.862500000000004,81.83749999999999,595.2083333333334,0.125,31.075,48.958333333333336,3.670833333333333,175.125,0.0,983.5458333333332,24
2023-04-13,54.487500000000004,78.55416666666666,650.375,0.25,31.229166666666668,48.208333333333336,4.725,189.29166666666666,0.0,983.1791666666667,24
2023-04-14,42.37083333333333,61.31666666666666,589.0,0.0,31.045833333333334,53.083333333333336,3.525,183.70833333333334,0.0,983.0916666666667,24
2023-04-15,36.987500000000004,53.55416666666667,510.75,0.0,30.90833333333333,51.458333333333336,3.9625,211.75,0.0,982.9375,24
2023-04-16,36.61666666666667,53.09583333333333,510.5833333333333,0.0,30.625,56.166666666666664,7.708333333333333,188.41666666666666,0.0,983.3125,24
2023-04-17,45.24583333333334,65.86666666666666,512.4583333333334,0.0,31.066666666666666,54.333333333333336,7.675,186.95833333333334,0.0,983.8249999999999,24
2023-04-18,36.4125,53.04583333333333,447.0,0.0,31.258333333333336,50.875,5.9750000000000005,201.29166666666666,0.0,983.6666666666666,24
2023-04-19,32.275,46.98333333333333,435.0,0.0,31.683333333333334,50.125,6.270833333333333,205.58333333333334,0.0,980.9333333333334,24
2023-04-20,39.22083333333333,56.875,424.3333333333333,0.25,30.820833333333336,56.0,6.425,201.25,0.6,979.5666666666666,24
2023-04-21,34.86666666666667,50.770833333333336,381.0,0.25,30.25,56.166666666666664,4.4875,218.79166666666666,0.0,980.6666666666666,24
2023-04-22,36.3125,52.97083333333333,353.0,0.375,30.337500000000002,54.375,4.704166666666667,209.75,0.0,981.6458333333334,24
2023-04-23,29.633333333333336,43.60833333333333,376.4583333333333,0.0,30.0125,54.625,6.304166666666667,219.08333333333334,0.0,983.9458333333333,24
2023-04-24,27.020833333333332,40.020833333333336,420.0833333333333,0.0,28.3625,68.0,5.345833333333334,160.625,14.899999999999999,987.2375000000001,24
2023-04-25,24.55,36.09166666666666,414.1666666666667,0.125,29.775000000000002,59.791666666666664,4.170833333333333,147.25,0.0,985.0583333333334,24
2023-04-26,24.545833333333334,35.77916666666667,347.7083333333333,0.0,27.9875,67.41666666666667,7.545833333333333,180.95833333333334,9.4,986.275,24
2023-04-27,26.329166666666666,38.208333333333336,360.25,0.0,27.866666666666664,70.625,6.341666666666666,158.08333333333334,15.5,986.6958333333333,24
2023-04-28,23.96666666666667,34.920833333333334,350.875,0.125,29.729166666666668,63.708333333333336,4.5125,206.83333333333334,0.2,985.2375000000001,24
2023-04-29,21.8875,32.12083333333333,309.0416666666667,0.0,30.40416666666667,57.291666666666664,6.008333333333333,159.91666666666666,0.8,984.125,24
2023-04-30,20.025000000000002,29.041666666666668,368.0833333333333,0.0,25.825,81.95833333333333,5.5874999999999995,188.54166666666666,30.0,986.4125,24
2023-05-01,17.154166666666665,24.945833333333336,358.4166666666667,0.0,27.02916666666667,75.83333333333333,4.216666666666667,135.875,11.799999999999999,986.5916666666667,24
2023-05-02,20.479166666666668,29.679166666666664,370.7916666666667,0.0,27.954166666666666,77.45833333333333,4.308333333333334,184.125,0.5,986.6,24
2023-05-03,24.445833333333336,35.30416666666667,346.25,0.0,27.8625,78.66666666666667,4.129166666666666,192.75,11.700000000000001,987.0541666666667,24
2023-05-04,22.516666666666666,32.800000000000004,341.0833333333333,0.0,30.070833333333336,65.25,5.083333333333333,220.79166666666666,0.0,983.85,24
2023-05-05,21.004166666666666,30.75,311.6666666666667,0.0,30.920833333333334,62.166666666666664,5.875,197.33333333333334,0.30000000000000004,980.8666666666667,24
2023-05-06,19.366666666666667,28.462500000000002,307.5833333333333,0.0,31.858333333333334,57.375,5.55,205.0,0.1,979.4875000000001,24
2023-05-07,14.070833333333333,20.683333333333334,276.5833333333333,0.0,32.05416666666667,55.125,5.304166666666666,227.70833333333334,0.1,979.4041666666667,24
2023-05-08,22.741666666666664,33.02916666666667,329.7916666666667,0.0,28.820833333333336,73.45833333333333,5.270833333333333,208.83333333333334,9.3,982.15,24
2023-05-09,21.224999999999998,30.583333333333332,337.875,0.0,28.420833333333334,78.41666666666667,3.65,215.75,1.2,984.3916666666668,24
2023-05-10,21.775000000000002,31.6125,378.5416666666667,0.0,27.46666666666667,74.83333333333333,5.629166666666666,169.95833333333334,16.9,985.6291666666666,24
2023-05-11,14.633333333333333,21.141666666666666,408.5416666666667,0.0,28.358333333333334,68.83333333333333,5.4125000000000005,149.125,0.0,986.4083333333333,24
2023-05-12,9.258333333333333,13.254166666666668,334.8333333333333,0.0,26.166666666666668,86.04166666666667,4.058333333333334,130.54166666666666,22.4,987.1875,24
2023-05-13,7.0125,10.016666666666667,312.625,0.0,25.65833333333333,88.54166666666667,4.5249999999999995,162.125,10.4,986.7916666666666,24
2023-05-14,8.4375,12.666666666666666,273.0416666666667,0.0,26.166666666666668,83.75,7.666666666666667,172.75,25.2,985.7708333333334,24
2023-05-15,13.1,20.087500000000002,272.625,0.125,25.65416666666667,86.79166666666667,6.8999999999999995,195.58333333333334,5.6,985.8583333333332,24
2023-05-16,13.279166666666667,20.308333333333334,248.16666666666666,0.25,26.837500000000002,81.79166666666667,5.558333333333334,195.625,1.1,986.1416666666668,24
2023-05-17,14.933333333333332,22.608333333333334,257.7916666666667,1.0416666666666667,27.974999999999998,74.625,5.391666666666667,213.79166666666666,0.0,986.0124999999999,24
2023-05-18,15.625,23.837500000000002,288.5,1.1666666666666667,29.295833333333334,66.66666666666667,5.341666666666666,227.29166666666666,0.0,984.7791666666667,24
2023-05-19,17.474999999999998,26.683333333333334,296.25,1.7083333333333333,29.47083333333333,64.58333333333333,5.008333333333334,215.5,0.0,983.0333333333333,24
2023-05-20,14.679166666666667,22.325,254.16666666666666,0.8333333333333334,29.979166666666668,64.625,4.8999999999999995,208.54166666666666,0.1,982.6791666666667,24
2023-05-21,15.424999999999999,23.958333333333332,215.95833333333334,2.9583333333333335,30.287499999999998,66.95833333333333,5.05,184.0,0.2,983.7624999999999,24
2023-05-22,15.799999999999999,24.320833333333336,224.29166666666666,2.375,30.320833333333336,65.91666666666667,5.258333333333334,202.20833333333334,0.30000000000000004,984.4416666666666,24
2023-05-23,15.566666666666668,23.329166666666666,242.125,1.2083333333333333,29.05,71.41666666666667,6.579166666666667,170.79166666666666,0.5,984.4833333333332,24
2023-05-24,16.3,24.1125,255.125,0.4583333333333333,28.570833333333336,71.625,6.454166666666667,178.70833333333334,3.5,983.9291666666667,24
2023-05-25,14.783333333333333,21.766666666666666,255.54166666666666,0.5,26.954166666666666,80.0,5.770833333333333,185.29166666666666,14.299999999999999,984.6708333333332,24
2023-05-26,17.766666666666666,26.816666666666666,267.1666666666667,1.5416666666666667,28.77916666666667,70.08333333333333,6.166666666666667,173.375,1.5,984.5916666666667,24
2023-05-27,19.954166666666666,30.083333333333332,272.7083333333333,2.25,29.079166666666666,70.33333333333333,4.479166666666667,185.41666666666666,1.8,983.2333333333332,24
2023-05-28,18.791666666666668,27.5625,300.9583333333333,1.0833333333333333,29.1125,71.25,4.5874999999999995,177.33333333333334,3.5,983.1416666666668,24
2023-05-29,7.920833333333333,11.391666666666666,247.79166666666666,0.0,27.366666666666664,84.95833333333333,3.516666666666667,161.75,16.2,984.5208333333334,24
2023-05-30,8.7875,12.833333333333334,247.95833333333334,0.0,29.045833333333334,76.5,4.3875,169.375,0.6,983.6208333333334,24
2023-05-31,10.762500000000001,15.608333333333334,266.0,0.0,28.6875,77.54166666666667,4.916666666666667,183.375,5.9,982.3958333333334,24
2023-06-01,7.054166666666667,10.175,238.75,0.0,28.77916666666667,77.20833333333333,5.004166666666666,205.16666666666666,1.4,981.1333333333333,24
2023-06-02,9.866666666666667,14.258333333333333,252.04166666666666,0.0,29.254166666666666,68.29166666666667,6.754166666666666,168.20833333333334,0.2,981.7041666666668,24
2023-06-03,9.85,14.916666666666666,210.04166666666666,0.5416666666666666,28.6125,76.70833333333333,5.358333333333333,200.70833333333334,2.0,983.0666666666666,24
2023-06-04,11.741666666666667,17.658333333333335,201.375,0.75,28.3625,79.45833333333333,5.754166666666666,209.58333333333334,4.9,983.0,24
2023-06-05,7.745833333333334,11.379166666666668,196.375,0.0,26.7,90.41666666666667,4.3374999999999995,155.41666666666666,29.0,982.6,24
2023-06-06,9.1,13.325000000000001,215.29166666666666,0.0,26.412499999999998,88.875,4.241666666666666,202.25,8.8,981.9666666666667,24
